Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C115 C116,C,1 nF,CL10B102KB8NNNC,Samsung Electro-Mechanics,JLCPCB,,https://jlcpcb.com/partdetail/1940-CL10B102KB8NNNC/C1588,C_0603_1608Metric,Unpolarized capacitor,2
2,C103 C104 C105 C106,C,22 nF,CC0603KRX7R9BB223,YAGEO,JLCPCB,,https://jlcpcb.com/partdetail/Yageo-CC0603KRX7R9BB223/C106222,C_0603_1608Metric,Unpolarized capacitor,4
3,C109 C112 C117 C118,C,100 nF,CL10B104KB8NNNC,Samsung Electro-Mechanics,JLCPCB,,https://jlcpcb.com/partdetail/1943-CL10B104KB8NNNC/C1591,C_0603_1608Metric,Unpolarized capacitor,4
4,C101,C,1 µF,0603F105M500NT,FH (Guangdong Fenghua Advanced Tech),JLCPCB,,https://jlcpcb.com/partdetail/109562-0603F105M500NT/C108343,C_0603_1608Metric,Unpolarized capacitor,1
5,C102 C108 C111 C113 C114,C,10 µF,C3216X5R1H106KT000N,TDK,JLCPCB,,https://jlcpcb.com/partdetail/Tdk-C3216X5R1H106KT000N/C329928,C_1206_3216Metric,Unpolarized capacitor,5
6,C107 C110,C_Polarized,330 µF,CS1H331M-CRG10,ROQANG,JLCPCB,,https://jlcpcb.com/partdetail/Roqang-CS1H331MCRG10/C5162354,CP_Elec_10x10.5,Polarized capacitor,2
7,D104 D105,1N4448W,1N4448W,1N4448W,Guangdong Hottech,JLCPCB,,https://jlcpcb.com/partdetail/GuangdongHottech-1N4448W/C5190208,D_SOD-123,"100V 0.15A High-speed standard diode, SOD-123",2
8,D101,SMAJ24CA,SMAJ24CA,SMAJ24CA,"UMW(Youtai Semiconductor Co., Ltd.)",JLCPCB,,https://jlcpcb.com/partdetail/3486668-SMAJ24CA/C3001961,D_SMA,"400W bidirectional Transient Voltage Suppressor, 24.0Vr, SMA(DO-214AC)",1
9,D102,D_Zener,SMBJ5344B,SMBJ5344B,LGE,JLCPCB,,https://jlcpcb.com/partdetail/Lge-SMBJ5344B/C2903883,D_SMB,Zener diode,1
10,D103,D_Schottky,SS210,SS210,MDD,JLCPCB,,https://jlcpcb.com/partdetail/Mdd-SS210/C14996,D_SMA,Schottky diode,1
11,J103,Conn_01x06,Analog,PRT-11417,SparkFun Electronics,Digikey,1568-1413-ND,https://www.digikey.de/de/products/detail/sparkfun-electronics/PRT-11417/6161755,PinSocket_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",1
