"Designator","MPN","Quantity Per PCB","Link"
"C115,C116","CL10B102KB8NNNC","2","https://jlcpcb.com/partdetail/1940-CL10B102KB8NNNC/C1588"
"C103,C104,C105,C106","CL10B223KB8NNNC","4","https://jlcpcb.com/partdetail/21834-CL10B223KB8NNNC/C21122"
"C109,C112,C117,C118,C119,C120","CC0603KRX7R9BB104","6","https://jlcpcb.com/partdetail/Yageo-CC0603KRX7R9BB104/C14663"
"C101","CL10A105KB8NNNC","1","https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849"
"C102,C108,C111,C113,C114","CL31A106KBHNNNE","5","https://jlcpcb.com/partdetail/14236-CL31A106KBHNNNE/C13585"
"C107,C110","VZT331M1HTR-1010","2","https://jlcpcb.com/partdetail/Lelon-VZT331M1HTR1010/C249985"
"D104,D105","1N4448W","2","https://jlcpcb.com/partdetail/GuangdongHottech-1N4448W/C5190208"
"D101","SMAJ24CA","1","https://jlcpcb.com/partdetail/3486668-SMAJ24CA/C3001961"
"D102","SMBJ5344B","1","https://jlcpcb.com/partdetail/Lge-SMBJ5344B/C2903883"
"D103","SS210","1","https://jlcpcb.com/partdetail/Mdd-SS210/C14996"
"Q101","SUD50P06-15-GE3","1","https://jlcpcb.com/partdetail/VishayIntertech-SUD50P06_15GE3/C141584"
"R102","1206W4F100KT5E","1","https://jlcpcb.com/partdetail/18616-1206W4F100KT5E/C17928"
"R106,R107","0402WGF2001TCE","2","https://jlcpcb.com/partdetail/4516-0402WGF2001TCE/C4109"
"R101,R103,R104,R105","0402WGF1002TCE","4","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"U105,U106","ACS712ELCTR-20A-T","2","https://jlcpcb.com/partdetail/11225-ACS712ELCTR_20AT/C10681"
"U102","AT24C256C-SSHL-T","1","https://jlcpcb.com/partdetail/MicrochipTech-AT24C256C_SSHLT/C6482"
"U103,U104","IFX9201SGAUMA1","2","https://jlcpcb.com/partdetail/InfineonTechnologies-IFX9201SGAUMA1/C112633"
